txn_id,sender_account,sender_person_id,receiver_account,receiver_person_id,amount_inr,datetime,bank_sender,bank_receiver,txn_type,description,flagged_suspicious
TXN000017,ACC20581573,P0066,ACC47670632,P0055,24432.01,2023-05-01 12:00:10,PNB,SBI,Cash Deposit,Personal Transfer,No
TXN000018,ACC43591464,P0022,ACC74591190,P0018,14530.33,2023-12-18 05:17:45,PNB,Union Bank,RTGS,Service Fee,Yes
TXN000019,ACC89291824,P0096,ACC55462982,P0040,324926.94,2022-11-20 08:38:13,SBI,Axis,UPI,Loan Repayment,No
TXN000020,ACC87622366,P0097,ACC23941705,P0085,4672.61,2022-08-24 23:44:34,HDFC,Union Bank,UPI,Goods Purchase,Yes
TXN000021,ACC36061115,P0026,ACC10446705,P0013,2830.79,2023-06-05 19:34:56,HDFC,Axis,Cash Deposit,Unknown,No
TXN000022,ACC80458179,P0061,ACC80837586,P0094,16684.62,2022-02-15 13:31:54,Axis,ICICI,RTGS,Goods Purchase,No
TXN000023,ACC38320949,P0092,ACC68035954,P0029,374413.93,2023-04-17 05:43:17,PNB,SBI,NEFT,Service Fee,No
TXN000024,ACC65777619,P0006,ACC67237068,P0007,876.35,2022-03-26 22:12:30,HDFC,Union Bank,Cash Deposit,Goods Purchase,No
TXN000025,ACC42152047,P0013,ACC65777619,P0006,190779.81,2024-02-10 09:16:10,HDFC,ICICI,Cash Deposit,Goods Purchase,Yes
TXN000026,ACC43424331,P0098,ACC39315551,P0086,395594.2,2023-05-29 19:50:02,PNB,Canara,UPI,Business Payment,Yes
TXN000027,ACC74018781,P0078,ACC23941705,P0085,31964.52,2023-01-22 11:40:21,HDFC,PNB,Wire,Unknown,No
TXN000028,ACC28281865,P0095,ACC23900847,P0029,156110.8,2023-06-08 07:20:23,SBI,PNB,IMPS,Service Fee,No
TXN000029,ACC20692205,P0069,ACC82788896,P0010,6771.92,2023-02-25 19:54:39,Union Bank,PNB,NEFT,Service Fee,Yes
TXN000030,ACC80837586,P0094,ACC61979251,P0035,1892207.9,2022-09-16 16:07:56,SBI,Kotak,Wire,Goods Purchase,No
TXN000031,ACC76353912,P0034,ACC44225424,P0100,1273495.02,2024-01-06 06:33:41,HDFC,Canara,IMPS,Personal Transfer,No
TXN000032,ACC25216365,P0015,ACC55658290,P0028,182818.0,2023-02-22 09:10:01,Axis,Canara,Wire,Personal Transfer,No
TXN000033,ACC28281865,P0095,ACC88960861,P0077,1462.43,2024-04-21 12:18:40,Canara,ICICI,IMPS,Service Fee,No
TXN000034,ACC28377021,P0053,ACC82788896,P0010,40489.66,2022-10-28 06:55:58,SBI,HDFC,UPI,Investment,No
TXN000035,ACC66394418,P0074,ACC15226275,P0051,4383.88,2024-03-01 07:46:06,PNB,Axis,Cash Deposit,Goods Purchase,Yes
TXN000036,ACC38320949,P0092,ACC76353912,P0034,4236.87,2023-11-21 22:21:02,Kotak,SBI,IMPS,Personal Transfer,No
TXN000037,ACC55462982,P0040,ACC99198449,P0039,137448.01,2024-06-23 22:07:25,Axis,ICICI,NEFT,Business Payment,No
TXN000038,ACC21007045,P0082,ACC80837586,P0094,44536.84,2022-09-04 18:05:40,Axis,Union Bank,RTGS,Personal Transfer,No
TXN000039,ACC13509495,P0059,ACC72207404,P0042,676.45,2024-02-08 19:48:32,Union Bank,PNB,UPI,Business Payment,No
TXN000040,ACC80192532,P0089,ACC51861461,P0073,37412.87,2022-08-02 00:51:01,HDFC,PNB,UPI,Business Payment,Yes
TXN000041,ACC80073291,P0025,ACC80837586,P0094,1208409.52,2022-09-28 23:18:52,HDFC,Canara,NEFT,Unknown,No
TXN000042,ACC98301804,P0071,ACC47113201,P0067,3243.84,2024-04-07 03:55:33,Kotak,HDFC,Cash Deposit,Loan Repayment,No
TXN000043,ACC22881862,P0043,ACC49935956,P0071,708940.48,2022-07-19 05:52:46,ICICI,Axis,Cash Deposit,Unknown,Yes
TXN000044,ACC68035954,P0029,ACC77171016,P0016,201962.61,2022-02-07 22:47:54,Kotak,ICICI,Cash Deposit,Unknown,No
TXN000045,ACC82788896,P0010,ACC20581573,P0066,1238563.29,2023-03-15 13:50:47,SBI,HDFC,NEFT,Goods Purchase,No
TXN000046,ACC19227140,P0076,ACC44654107,P0004,47473.16,2023-01-05 12:25:56,HDFC,SBI,UPI,Personal Transfer,No
TXN000047,ACC77171016,P0016,ACC13509495,P0059,478754.01,2022-12-15 11:03:52,Canara,ICICI,UPI,Unknown,No
TXN000048,ACC32732400,P0087,ACC28373284,P0076,114168.11,2022-10-25 23:02:07,Axis,Kotak,Cash Deposit,Business Payment,Yes
TXN000049,ACC89303061,P0081,ACC36724504,P0036,15684.16,2023-02-22 01:13:14,PNB,HDFC,NEFT,Business Payment,No
TXN000050,ACC43229057,P0082,ACC44654107,P0004,3225.57,2024-04-02 09:18:36,ICICI,SBI,Wire,Investment,No
TXN000051,ACC88699165,P0032,ACC15467685,P0073,1438943.69,2024-06-09 21:18:53,Union Bank,HDFC,Cash Deposit,Loan Repayment,No
TXN000052,ACC87622366,P0097,ACC20581573,P0066,3106.76,2022-10-29 00:49:32,Kotak,Axis,RTGS,Personal Transfer,No
TXN000053,ACC61979251,P0035,ACC72207404,P0042,1824.94,2023-02-22 19:44:01,Union Bank,ICICI,UPI,Goods Purchase,No
TXN000054,ACC34847621,P0083,ACC22477883,P0074,248895.2,2023-07-30 23:14:33,Axis,PNB,Wire,Goods Purchase,Yes
TXN000055,ACC87364623,P0065,ACC28222781,P0045,4543.35,2024-05-06 09:52:00,PNB,Canara,Wire,Business Payment,No
TXN000056,ACC74018781,P0078,ACC23438230,P0062,402834.22,2023-07-12 21:09:27,Kotak,HDFC,Cash Deposit,Investment,Yes
TXN000057,ACC20692205,P0069,ACC22771791,P0063,522399.65,2024-04-08 13:06:43,ICICI,Axis,Cash Deposit,Loan Repayment,Yes
TXN000058,ACC80458179,P0061,ACC31782481,P0024,13641.84,2023-08-25 09:54:32,Kotak,SBI,NEFT,Service Fee,No
TXN000059,ACC39315551,P0086,ACC72207404,P0042,1400588.66,2022-03-06 01:07:53,Canara,Axis,NEFT,Business Payment,No
TXN000060,ACC28444834,P0061,ACC65777619,P0006,287515.57,2022-03-24 09:40:38,HDFC,PNB,NEFT,Investment,No
TXN000061,ACC76353912,P0034,ACC62135687,P0093,31210.81,2022-02-21 23:23:14,Kotak,Kotak,NEFT,Investment,No
TXN000062,ACC24346658,P0080,ACC17370298,P0052,1828153.27,2024-02-21 13:42:08,ICICI,PNB,NEFT,Unknown,No
TXN000063,ACC78408689,P0088,ACC73124701,P0086,4652.73,2024-02-27 08:01:25,Kotak,HDFC,RTGS,Personal Transfer,No
TXN000064,ACC21007045,P0082,ACC22881862,P0043,10969.96,2022-07-27 11:58:25,HDFC,Union Bank,Cash Deposit,Business Payment,No
TXN000065,ACC12777085,P0003,ACC86630175,P0038,45460.13,2022-01-01 12:07:14,Canara,Axis,Cash Deposit,Goods Purchase,No
TXN000066,ACC81780879,P0026,ACC23941705,P0085,30804.6,2023-04-04 02:57:42,Kotak,Kotak,IMPS,Unknown,No
TXN000067,ACC18979241,P0033,ACC13509495,P0059,715.04,2023-03-18 08:18:03,Axis,Union Bank,RTGS,Goods Purchase,No
TXN000068,ACC83189524,P0022,ACC49935956,P0071,1194807.62,2023-11-15 16:10:58,ICICI,HDFC,NEFT,Service Fee,No
TXN000069,ACC57816281,P0020,ACC78408689,P0088,31504.69,2022-09-25 16:59:26,ICICI,PNB,Wire,Service Fee,No
TXN000070,ACC58469806,P0079,ACC22881862,P0043,43996.26,2024-06-16 03:54:32,ICICI,PNB,UPI,Business Payment,No
TXN000071,ACC21438741,P0042,ACC43229057,P0082,1382917.39,2023-02-17 21:59:07,Union Bank,Union Bank,Wire,Business Payment,No
TXN000072,ACC10709540,P0089,ACC85351481,P0044,4551.41,2023-01-09 00:24:34,ICICI,HDFC,Wire,Service Fee,No
TXN000073,ACC84820714,P0034,ACC72207404,P0042,121647.72,2022-01-16 10:34:28,HDFC,Kotak,UPI,Unknown,No
TXN000074,ACC77171016,P0016,ACC62135687,P0093,82738.98,2023-08-05 12:29:48,SBI,Kotak,RTGS,Investment,Yes
TXN000075,ACC43424331,P0098,ACC50292848,P0052,4025.07,2024-05-21 10:51:02,Axis,Canara,Wire,Unknown,No
TXN000076,ACC87402122,P0090,ACC28377021,P0053,3417.67,2023-10-25 02:18:22,Union Bank,Union Bank,NEFT,Goods Purchase,No
TXN000077,ACC57816281,P0020,ACC34510701,P0065,1171368.76,2022-07-20 17:49:42,ICICI,SBI,Cash Deposit,Investment,No
TXN000078,ACC83677009,P0069,ACC81751708,P0017,1960036.07,2023-09-18 17:31:24,ICICI,Canara,Cash Deposit,Investment,No
TXN000079,ACC81780879,P0026,ACC50241177,P0058,497386.36,2023-11-29 16:00:25,ICICI,Axis,IMPS,Business Payment,No
TXN000080,ACC67237068,P0007,ACC87364623,P0065,997815.4,2023-08-06 01:01:43,HDFC,ICICI,IMPS,Unknown,No
TXN000081,ACC23438230,P0062,ACC83847719,P0068,1191028.72,2022-07-20 04:22:52,Kotak,ICICI,Wire,Personal Transfer,No
TXN000082,ACC89291824,P0096,ACC52556000,P0049,4052.91,2022-12-15 12:10:16,HDFC,PNB,RTGS,Unknown,No
TXN000083,ACC27000208,P0087,ACC76353912,P0034,1363165.52,2023-08-27 07:55:44,Axis,PNB,Cash Deposit,Unknown,No
TXN000084,ACC83189524,P0022,ACC72207404,P0042,97794.78,2023-01-10 00:41:31,Kotak,Canara,Cash Deposit,Loan Repayment,No
TXN000085,ACC13509495,P0059,ACC32732400,P0087,167768.15,2023-10-06 19:07:56,HDFC,HDFC,UPI,Unknown,No
TXN000086,ACC88699165,P0032,ACC30880066,P0012,1396.17,2022-03-30 11:13:25,Kotak,HDFC,IMPS,Loan Repayment,No
TXN000087,ACC43591464,P0022,ACC53990376,P0060,14103.37,2024-04-17 13:30:46,HDFC,Axis,UPI,Investment,No
TXN000088,ACC95768162,P0011,ACC44654107,P0004,4819.1,2022-10-18 02:02:49,PNB,ICICI,UPI,Investment,Yes
TXN000089,ACC28281865,P0095,ACC29570681,P0024,28567.44,2024-02-15 15:00:17,PNB,ICICI,RTGS,Service Fee,Yes
TXN000090,ACC80837586,P0094,ACC54799885,P0064,1336109.88,2023-03-03 01:20:55,Canara,Union Bank,Cash Deposit,Investment,No
TXN000091,ACC47670632,P0055,ACC88699165,P0032,279593.76,2023-07-09 20:21:46,Canara,PNB,IMPS,Service Fee,Yes
TXN000092,ACC50292848,P0052,ACC76353912,P0034,2759.14,2024-04-11 22:27:21,SBI,ICICI,NEFT,Business Payment,No
TXN000093,ACC64017185,P0030,ACC19985429,P0056,15330.8,2022-05-15 20:56:52,HDFC,PNB,IMPS,Business Payment,No
TXN000094,ACC42963378,P0002,ACC13509495,P0059,6520.52,2023-11-30 03:18:19,Kotak,Canara,UPI,Unknown,Yes
TXN000095,ACC78408689,P0088,ACC55658290,P0028,833128.27,2023-10-15 14:46:18,Canara,ICICI,Wire,Business Payment,No
TXN000096,ACC20581573,P0066,ACC41931968,P0091,4931.55,2023-06-23 06:51:52,ICICI,HDFC,Wire,Personal Transfer,No
TXN000097,ACC25216365,P0015,ACC80073291,P0025,428525.17,2023-10-02 02:03:24,SBI,HDFC,Cash Deposit,Personal Transfer,No
TXN000098,ACC95641687,P0049,ACC78408689,P0088,37289.51,2024-02-25 15:25:33,HDFC,Union Bank,RTGS,Service Fee,No
TXN000099,ACC54799885,P0064,ACC39315551,P0086,487983.21,2023-05-11 04:24:09,SBI,PNB,RTGS,Unknown,No
TXN000100,ACC35172528,P0090,ACC21007045,P0082,2220.86,2023-07-17 05:45:28,HDFC,Union Bank,RTGS,Business Payment,No
TXN000101,ACC55462982,P0040,ACC14882771,P0037,37273.75,2024-05-07 00:20:11,ICICI,ICICI,Cash Deposit,Unknown,Yes
TXN000102,ACC97069298,P0040,ACC66394418,P0074,4467.01,2023-10-18 09:15:35,ICICI,Axis,RTGS,Loan Repayment,No
TXN000103,ACC28222781,P0045,ACC43424331,P0098,1126813.09,2024-01-13 20:29:47,Union Bank,Axis,RTGS,Service Fee,No
TXN000104,ACC28377021,P0053,ACC84300929,P0046,880844.37,2023-09-18 22:46:07,ICICI,Union Bank,Cash Deposit,Service Fee,Yes
TXN000105,ACC58469806,P0079,ACC20694051,P0001,12844.88,2023-11-14 19:29:48,Union Bank,HDFC,RTGS,Investment,No
TXN000106,ACC94767925,P0027,ACC38320949,P0092,1593.62,2022-05-18 11:25:46,SBI,Axis,RTGS,Business Payment,No
TXN000107,ACC95641687,P0049,ACC97018401,P0100,1198403.02,2022-12-24 21:13:44,PNB,PNB,RTGS,Personal Transfer,Yes
TXN000108,ACC98301804,P0071,ACC46245645,P0014,4094.11,2022-07-26 00:17:19,Axis,Canara,Wire,Business Payment,Yes
TXN000109,ACC13509495,P0059,ACC93260889,P0023,2570.97,2022-01-24 04:41:36,ICICI,PNB,Wire,Business Payment,No
TXN000110,ACC55626134,P0055,ACC14882771,P0037,34418.96,2022-01-06 18:26:30,HDFC,Axis,Wire,Unknown,No
TXN000111,ACC57816281,P0020,ACC21599659,P0023,7178.74,2022-06-11 03:55:43,Union Bank,Canara,UPI,Service Fee,No
TXN000112,ACC10446705,P0013,ACC21599659,P0023,669064.38,2022-04-18 04:58:11,SBI,HDFC,Cash Deposit,Goods Purchase,No
TXN000113,ACC89303061,P0081,ACC36061115,P0026,34777.3,2022-07-22 19:47:46,Axis,SBI,IMPS,Unknown,No
TXN000114,ACC88960861,P0077,ACC83677009,P0069,347151.75,2024-03-06 16:06:09,Kotak,ICICI,NEFT,Business Payment,No
TXN000115,ACC49234073,P0005,ACC49935956,P0071,201720.03,2022-05-18 04:38:18,Canara,ICICI,NEFT,Service Fee,Yes
TXN000116,ACC36724504,P0036,ACC20581573,P0066,4975.55,2024-04-04 06:45:42,PNB,ICICI,Wire,Unknown,No
TXN000117,ACC44654107,P0004,ACC22352071,P0020,113845.56,2023-07-17 10:34:23,Canara,Kotak,RTGS,Personal Transfer,No
TXN000118,ACC14359404,P0048,ACC81751708,P0017,4496.46,2023-03-09 03:23:39,ICICI,Union Bank,RTGS,Unknown,No
TXN000119,ACC15226275,P0051,ACC46245645,P0014,1248.58,2023-03-18 13:55:37,SBI,Canara,RTGS,Personal Transfer,No
TXN000120,ACC17370298,P0052,ACC28281865,P0095,45550.4,2024-04-27 21:40:41,SBI,Axis,Wire,Goods Purchase,No
TXN000121,ACC31999265,P0008,ACC84300929,P0046,1857644.4,2023-08-01 20:28:23,Canara,Kotak,Cash Deposit,Business Payment,No
TXN000122,ACC24346658,P0080,ACC54799885,P0064,869146.31,2024-05-11 03:08:53,Kotak,Union Bank,UPI,Business Payment,No
TXN000123,ACC95768162,P0011,ACC46245645,P0014,3961.21,2024-04-05 23:50:26,Axis,HDFC,UPI,Investment,No
TXN000124,ACC57816281,P0020,ACC78408689,P0088,294967.68,2023-04-04 03:09:37,SBI,HDFC,IMPS,Goods Purchase,No
TXN000125,ACC86371930,P0084,ACC74591190,P0018,869754.51,2023-12-31 07:21:05,SBI,Kotak,IMPS,Unknown,No
TXN000126,ACC78408689,P0088,ACC47670632,P0055,1397.73,2023-08-02 13:11:22,PNB,Union Bank,UPI,Goods Purchase,No
TXN000127,ACC55728427,P0047,ACC10709540,P0089,10422.34,2023-09-14 12:10:52,Union Bank,Kotak,UPI,Investment,No
TXN000128,ACC23900847,P0029,ACC72451136,P0017,707333.03,2022-01-20 01:03:17,Canara,Canara,UPI,Business Payment,No
TXN000129,ACC34800234,P0060,ACC65777619,P0006,1382771.43,2022-05-08 08:02:01,Kotak,Axis,Cash Deposit,Service Fee,Yes
TXN000130,ACC70571332,P0015,ACC82085863,P0050,350469.36,2024-03-14 05:02:16,SBI,Kotak,Wire,Service Fee,Yes
TXN000131,ACC10709540,P0089,ACC49935956,P0071,4024.97,2022-07-23 14:37:28,HDFC,Canara,UPI,Unknown,Yes
TXN000132,ACC28377021,P0053,ACC83189524,P0022,94809.54,2022-02-20 15:30:36,Kotak,Axis,RTGS,Service Fee,No
TXN000133,ACC13509495,P0059,ACC74018781,P0078,485168.39,2023-08-20 18:58:07,Union Bank,SBI,NEFT,Goods Purchase,No
TXN000134,ACC88699165,P0032,ACC88960861,P0077,4316.55,2023-06-12 14:52:57,ICICI,HDFC,NEFT,Investment,No
TXN000135,ACC38502474,P0030,ACC67237068,P0007,3338.71,2022-08-29 11:43:44,Union Bank,ICICI,NEFT,Business Payment,No
TXN000136,ACC49234073,P0005,ACC87622366,P0097,2766.42,2024-04-14 02:34:59,Canara,Kotak,IMPS,Unknown,No
TXN000137,ACC93359286,P0031,ACC31782481,P0024,44607.98,2023-08-08 14:32:23,Union Bank,SBI,Cash Deposit,Personal Transfer,No
TXN000138,ACC65777619,P0006,ACC14359404,P0048,23845.44,2024-05-12 06:24:36,HDFC,Kotak,Cash Deposit,Investment,No
TXN000139,ACC74591190,P0018,ACC38502474,P0030,27485.8,2023-09-07 21:27:35,ICICI,Union Bank,Wire,Service Fee,No
TXN000140,ACC39315551,P0086,ACC30880066,P0012,1702.11,2024-03-20 18:27:07,PNB,Canara,NEFT,Investment,Yes
TXN000141,ACC84300929,P0046,ACC76353912,P0034,35338.66,2022-12-08 23:24:22,HDFC,Union Bank,Cash Deposit,Service Fee,No
TXN000142,ACC84820714,P0034,ACC28377021,P0053,466802.19,2024-05-05 19:24:24,Axis,Kotak,Cash Deposit,Investment,No
TXN000143,ACC52556000,P0049,ACC43229057,P0082,249775.89,2022-04-15 12:09:10,PNB,Axis,Wire,Investment,No
TXN000144,ACC43424331,P0098,ACC26730079,P0099,27613.98,2022-09-30 17:25:34,Axis,SBI,UPI,Personal Transfer,No
TXN000145,ACC49935956,P0071,ACC39315551,P0086,1181.02,2023-03-12 00:39:53,HDFC,HDFC,IMPS,Business Payment,No
TXN000146,ACC93260889,P0023,ACC84300929,P0046,38997.1,2024-01-02 13:06:14,Axis,Union Bank,Wire,Investment,No
TXN000147,ACC23438230,P0062,ACC61979251,P0035,4914.56,2023-02-15 10:49:53,SBI,ICICI,IMPS,Loan Repayment,No
TXN000148,ACC42022542,P0088,ACC68035954,P0029,32732.58,2023-12-15 09:17:01,Canara,Canara,NEFT,Investment,No
TXN000149,ACC25216365,P0015,ACC38320949,P0092,1070.5,2023-07-14 17:58:46,SBI,Canara,UPI,Service Fee,Yes
TXN000150,ACC68035954,P0029,ACC22352071,P0020,1721.74,2024-03-17 07:53:20,ICICI,Canara,Wire,Investment,No
TXN000151,ACC26730079,P0099,ACC28373284,P0076,873463.67,2023-12-15 19:35:28,Kotak,Canara,Cash Deposit,Loan Repayment,No
TXN000152,ACC53990376,P0060,ACC23438230,P0062,3147.58,2023-09-21 04:46:38,ICICI,SBI,Wire,Service Fee,No
TXN000153,ACC87364623,P0065,ACC84300929,P0046,3636.46,2023-05-01 02:27:43,SBI,Axis,Cash Deposit,Unknown,Yes
TXN000154,ACC49935956,P0071,ACC99198449,P0039,2395.62,2023-06-12 18:16:20,PNB,SBI,UPI,Investment,No
TXN000155,ACC30880066,P0012,ACC65777619,P0006,185509.74,2022-07-03 01:18:58,Canara,Canara,Wire,Service Fee,No
TXN000156,ACC74018781,P0078,ACC88960861,P0077,2738.77,2024-04-19 09:20:27,PNB,Union Bank,UPI,Loan Repayment,Yes
TXN000157,ACC67237068,P0007,ACC43229057,P0082,4021.33,2023-03-12 04:15:54,PNB,Kotak,UPI,Investment,No
TXN000158,ACC61979251,P0035,ACC46111036,P0075,98779.41,2022-08-23 01:00:44,Canara,ICICI,RTGS,Business Payment,No
TXN000159,ACC23900847,P0029,ACC60946520,P0054,1946500.96,2023-12-12 21:30:19,Canara,ICICI,IMPS,Unknown,No
TXN000160,ACC49890367,P0070,ACC67237068,P0007,369113.44,2024-05-22 16:52:16,Canara,SBI,NEFT,Service Fee,Yes
TXN000161,ACC23349287,P0003,ACC43591464,P0022,28232.17,2022-07-20 02:11:36,PNB,Union Bank,NEFT,Service Fee,No
TXN000162,ACC89303061,P0081,ACC36061115,P0026,746164.91,2022-03-19 04:46:07,ICICI,SBI,RTGS,Unknown,No
TXN000163,ACC21438741,P0042,ACC39315551,P0086,2039.68,2023-04-18 17:22:52,ICICI,PNB,IMPS,Unknown,No
TXN000164,ACC81264557,P0056,ACC80073291,P0025,388030.35,2023-01-06 08:03:02,Canara,Kotak,IMPS,Goods Purchase,No
TXN000165,ACC50292848,P0052,ACC23941705,P0085,2023.43,2022-05-24 06:09:59,Union Bank,Kotak,Cash Deposit,Unknown,No
TXN000166,ACC74591190,P0018,ACC43229057,P0082,393870.77,2023-10-23 20:43:47,ICICI,Union Bank,RTGS,Business Payment,No
TXN000167,ACC87622366,P0097,ACC83677009,P0069,3582.87,2023-11-02 17:03:51,HDFC,Canara,RTGS,Service Fee,No
TXN000168,ACC26072981,P0047,ACC34800234,P0060,13746.29,2022-11-29 23:34:32,ICICI,Kotak,Cash Deposit,Personal Transfer,No
TXN000169,ACC21438741,P0042,ACC19985429,P0056,553.17,2023-06-12 02:45:55,Canara,Union Bank,UPI,Unknown,No
TXN000170,ACC41931968,P0091,ACC70571332,P0015,127512.49,2022-09-25 08:27:03,Axis,PNB,Wire,Business Payment,No
TXN000171,ACC55462982,P0040,ACC43229057,P0082,57006.32,2022-09-04 20:38:07,ICICI,Union Bank,Cash Deposit,Unknown,No
TXN000172,ACC87622366,P0097,ACC83291553,P0070,30555.43,2024-06-25 22:38:03,Kotak,PNB,UPI,Unknown,No
TXN000173,ACC39315551,P0086,ACC83189524,P0022,1734.08,2024-04-09 02:55:46,Canara,Kotak,RTGS,Loan Repayment,No
TXN000174,ACC86630175,P0038,ACC72207404,P0042,3165.77,2022-06-04 03:41:42,Union Bank,SBI,UPI,Service Fee,No
TXN000175,ACC99198449,P0039,ACC40434030,P0033,28160.78,2022-06-21 04:07:02,HDFC,SBI,RTGS,Personal Transfer,No
TXN000176,ACC20694051,P0001,ACC44654107,P0004,783.64,2022-01-31 16:53:40,Union Bank,Canara,NEFT,Business Payment,Yes
TXN000177,ACC74591190,P0018,ACC60946520,P0054,22267.22,2023-07-21 09:59:20,Axis,HDFC,Cash Deposit,Unknown,No
TXN000178,ACC27000208,P0087,ACC49386369,P0051,38798.38,2022-11-19 09:26:55,PNB,HDFC,NEFT,Business Payment,No
TXN000179,ACC44654107,P0004,ACC34847621,P0083,132070.74,2022-12-04 23:37:24,Union Bank,HDFC,IMPS,Business Payment,No
TXN000180,ACC74018781,P0078,ACC88960861,P0077,4876.0,2023-10-25 12:58:23,Kotak,HDFC,Wire,Business Payment,No
TXN000181,ACC17370298,P0052,ACC20694051,P0001,95257.21,2024-03-01 19:30:02,SBI,PNB,Cash Deposit,Service Fee,No
TXN000182,ACC88960861,P0077,ACC46111036,P0075,1301443.75,2022-06-13 12:38:29,SBI,Axis,Cash Deposit,Investment,Yes
TXN000183,ACC62135687,P0093,ACC31782481,P0024,2626.15,2023-01-08 00:23:51,Canara,ICICI,IMPS,Investment,No
TXN000184,ACC21007045,P0082,ACC20692205,P0069,31761.57,2023-03-18 22:48:22,Union Bank,ICICI,UPI,Business Payment,No
TXN000185,ACC72451136,P0017,ACC97018401,P0100,39247.36,2022-03-16 14:23:21,PNB,HDFC,UPI,Investment,No
TXN000186,ACC28377021,P0053,ACC57816281,P0020,3519.34,2022-04-09 17:43:51,ICICI,Kotak,NEFT,Unknown,Yes
TXN000187,ACC15467685,P0073,ACC94767925,P0027,113410.97,2023-06-09 18:04:28,SBI,Kotak,Wire,Goods Purchase,No
TXN000188,ACC52556000,P0049,ACC81780879,P0026,973.56,2022-11-23 13:49:32,ICICI,SBI,Cash Deposit,Personal Transfer,No
TXN000189,ACC20581573,P0066,ACC10709540,P0089,4237.27,2023-10-10 12:14:59,PNB,Canara,IMPS,Business Payment,No
TXN000190,ACC18979241,P0033,ACC97069298,P0040,17530.08,2023-07-28 19:20:56,Kotak,SBI,NEFT,Business Payment,No
TXN000191,ACC62135687,P0093,ACC38320949,P0092,35998.13,2023-03-06 02:24:59,PNB,SBI,UPI,Business Payment,No
TXN000192,ACC54799885,P0064,ACC46245645,P0014,1415627.62,2024-06-26 03:52:42,HDFC,PNB,RTGS,Investment,No
TXN000193,ACC95768162,P0011,ACC87364623,P0065,41762.32,2022-07-24 01:02:29,HDFC,Canara,Cash Deposit,Loan Repayment,No
TXN000194,ACC42963378,P0002,ACC27000208,P0087,494588.42,2023-07-30 22:20:44,Kotak,Axis,Wire,Personal Transfer,Yes
TXN000195,ACC62135687,P0093,ACC23941705,P0085,146002.35,2022-05-15 19:16:17,Union Bank,HDFC,UPI,Service Fee,No
TXN000196,ACC41931968,P0091,ACC55658290,P0028,14098.31,2024-02-29 23:49:04,SBI,Kotak,IMPS,Business Payment,No
TXN000197,ACC52723076,P0064,ACC15467685,P0073,260722.43,2023-03-25 08:33:48,Axis,PNB,RTGS,Investment,Yes
TXN000198,ACC46245645,P0014,ACC15467685,P0073,1617997.87,2022-07-18 18:35:14,Kotak,Kotak,Cash Deposit,Unknown,No
TXN000199,ACC44225424,P0100,ACC55626134,P0055,152533.18,2023-02-20 04:34:03,PNB,PNB,NEFT,Investment,No
TXN000200,ACC49386369,P0051,ACC30880066,P0012,620092.44,2022-06-13 06:36:11,SBI,SBI,Cash Deposit,Loan Repayment,No
