call_id,caller_number,callee_number,datetime,duration_sec,call_type,tower_city
CL00028,+917923517027,+918341957809,2022-11-25 09:41:03,1579,Voice,Bhopal
CL00029,+919036965074,+919654827789,2024-01-27 23:54:59,81,WhatsApp,Pune
CL00030,+919565778475,+918000721711,2024-05-06 12:50:31,386,Signal,Delhi
CL00031,+917091729577,+919820660931,2023-08-05 19:06:59,691,Signal,Jaipur
CL00032,+918875662813,+917494665880,2023-05-21 04:54:32,963,Signal,Hyderabad
CL00033,+919549776132,+917112759345,2022-06-16 23:29:41,531,WhatsApp,Delhi
CL00034,+919978436070,+919179320310,2023-08-05 21:48:12,364,Telegram,Indore
CL00035,+919200510647,+919472866768,2022-12-02 02:25:42,200,WhatsApp,Bangalore
CL00036,+918849649210,+919635277155,2022-09-12 00:16:24,487,Telegram,Nagpur
CL00037,+919877685081,+917112759345,2022-11-06 18:46:36,28,Signal,Bhopal
CL00038,+919432330583,+917288335378,2022-03-05 21:07:29,633,WhatsApp,Pune
CL00039,+917181686832,+918196441373,2023-12-08 03:40:58,609,Signal,Ahmedabad
CL00040,+918342278523,+917261243105,2023-05-05 04:29:47,1245,Signal,Pune
CL00041,+917454678712,+918243165953,2024-02-15 17:51:42,1695,WhatsApp,Nagpur
CL00042,+918600506062,+919529104043,2023-06-23 14:33:45,745,Voice,Ahmedabad
CL00043,+919549776132,+918076551580,2024-04-28 17:57:32,419,WhatsApp,Bangalore
CL00044,+919391179068,+919749387529,2023-03-29 03:43:13,1473,Telegram,Mumbai
CL00045,+917334417350,+917195066088,2024-04-08 01:29:08,1056,Telegram,Jaipur
CL00046,+919320207740,+917907243029,2023-11-20 09:46:01,815,Signal,Indore
CL00047,+919756099698,+917408390575,2023-08-16 02:02:27,710,Voice,Lucknow
CL00048,+918076551580,+917110724913,2023-04-29 01:18:26,373,WhatsApp,Nagpur
CL00049,+919607371597,+917131671246,2023-01-27 14:55:58,778,Telegram,Mumbai
CL00050,+917378514962,+917261243105,2023-11-01 11:07:11,1105,Telegram,Lucknow
CL00051,+918967277638,+918607610633,2024-05-04 00:48:01,616,Telegram,Bhopal
CL00052,+918875662813,+918173242669,2023-06-29 12:52:14,511,Telegram,Kolkata
CL00053,+917346992476,+918816499958,2022-07-13 23:48:07,70,Telegram,Ahmedabad
CL00054,+917540838949,+917366637148,2022-07-31 02:06:38,73,Telegram,Ahmedabad
CL00055,+917012178595,+917414741061,2024-01-29 01:25:28,484,WhatsApp,Nagpur
CL00056,+919320207740,+918724932977,2023-05-31 09:14:52,1503,Signal,Ahmedabad
CL00057,+919635277155,+917288335378,2022-11-06 04:42:33,457,Telegram,Chennai
CL00058,+918816499958,+918076551580,2023-07-25 18:56:47,363,Telegram,Lucknow
CL00059,+917309561891,+917012178595,2022-12-19 20:42:24,1614,Signal,Surat
CL00060,+919843005049,+919653594796,2022-06-02 09:24:11,1550,Telegram,Hyderabad
CL00061,+918607610633,+919820660931,2024-05-28 22:09:51,953,Voice,Lucknow
CL00062,+917350389989,+919843005049,2023-07-25 16:08:24,502,Signal,Hyderabad
CL00063,+917112759345,+919529104043,2023-04-06 11:05:34,1488,WhatsApp,Delhi
CL00064,+919877685081,+917394096254,2023-11-21 19:38:02,1794,Voice,Hyderabad
CL00065,+917408390575,+918849649210,2022-08-02 10:19:58,36,WhatsApp,Hyderabad
CL00066,+919641863774,+918849649210,2022-09-06 22:38:45,423,Telegram,Hyderabad
CL00067,+919529182928,+919635277155,2024-03-05 09:24:29,1097,Signal,Chennai
CL00068,+919412411754,+919432330583,2023-06-10 15:29:06,1649,Telegram,Nagpur
CL00069,+919670283403,+918847136322,2023-01-15 10:26:02,1157,WhatsApp,Surat
CL00070,+919946766309,+917540838949,2022-09-25 17:59:37,1191,Telegram,Chennai
CL00071,+917346992476,+919367966782,2022-12-04 07:24:36,1711,WhatsApp,Jaipur
CL00072,+917454678712,+919978436070,2022-09-21 15:46:41,1519,Telegram,Jaipur
CL00073,+919355172948,+917026224160,2022-06-23 04:46:34,1005,WhatsApp,Lucknow
CL00074,+918076551580,+917494665880,2022-02-04 02:52:42,104,Voice,Pune
CL00075,+918724932977,+919036965074,2022-03-11 22:09:00,452,Telegram,Kolkata
CL00076,+918076551580,+918632978535,2023-11-07 15:01:00,1094,Telegram,Delhi
CL00077,+917540838949,+918394868732,2024-01-10 08:34:18,40,Telegram,Nagpur
CL00078,+919565778475,+919204340231,2022-04-09 16:09:15,398,Signal,Indore
CL00079,+917026224160,+919877685081,2024-03-25 12:05:23,836,Telegram,Ahmedabad
CL00080,+917414741061,+918607610633,2022-11-04 21:52:54,170,Voice,Mumbai
CL00081,+917225953184,+917923988689,2023-01-22 17:30:03,1309,Voice,Surat
CL00082,+919355172948,+917748381742,2023-05-27 13:41:50,683,Voice,Lucknow
CL00083,+917633740357,+917655579180,2022-08-05 22:56:36,978,Signal,Delhi
CL00084,+918021908455,+917220959215,2023-07-11 18:42:02,372,Signal,Delhi
CL00085,+917981372436,+918830831254,2024-02-10 22:52:25,162,Signal,Bangalore
CL00086,+917366637148,+918464137110,2023-11-25 17:21:24,1552,WhatsApp,Nagpur
CL00087,+919529104043,+917181686832,2024-02-03 11:03:06,900,WhatsApp,Indore
CL00088,+918021908455,+917774881143,2023-09-12 19:38:25,1589,Signal,Delhi
CL00089,+918518692176,+917947119487,2023-05-18 07:22:35,773,Telegram,Bangalore
CL00090,+917923988689,+917748381742,2024-03-01 19:18:51,509,Voice,Mumbai
CL00091,+919877685081,+917346992476,2023-01-25 22:50:40,320,Telegram,Kolkata
CL00092,+919432330583,+919204340231,2022-04-04 00:19:28,742,Signal,Mumbai
CL00093,+917133790981,+917544423789,2022-07-11 13:28:35,1141,Telegram,Mumbai
CL00094,+917294678352,+917544423789,2022-12-29 17:05:38,1229,Signal,Indore
CL00095,+918615742667,+918432410914,2022-10-26 13:24:49,178,WhatsApp,Ahmedabad
CL00096,+919749387529,+919355172948,2023-12-03 12:10:08,555,Signal,Chennai
CL00097,+917309561891,+919946766309,2022-03-06 05:27:17,867,Signal,Jaipur
CL00098,+918021908455,+919432330583,2022-09-15 07:46:40,1020,WhatsApp,Jaipur
CL00099,+919204340231,+917261243105,2022-11-08 00:25:21,1728,Telegram,Nagpur
CL00100,+917112759345,+919090071756,2022-12-09 13:52:52,1765,WhatsApp,Chennai
CL00101,+919635277155,+917923517027,2023-05-06 10:11:25,658,Signal,Surat
CL00102,+919869245055,+917414741061,2022-11-30 12:17:52,1614,Telegram,Kolkata
CL00103,+919163970710,+917923517027,2023-08-30 17:11:43,1577,Voice,Surat
CL00104,+917907243029,+917981372436,2023-03-25 09:53:44,146,Telegram,Bhopal
CL00105,+918705407682,+918724932977,2023-10-11 09:15:16,1353,WhatsApp,Surat
CL00106,+918173242669,+917394096254,2022-03-17 14:38:30,1197,Telegram,Lucknow
CL00107,+918873548915,+919607371597,2023-07-11 01:50:23,1441,Voice,Mumbai
CL00108,+918600506062,+917026224160,2022-06-20 20:39:02,1158,Telegram,Nagpur
CL00109,+917112759345,+918846465000,2022-04-19 00:06:16,459,WhatsApp,Jaipur
CL00110,+917131671246,+918338472296,2023-04-20 21:37:44,1029,WhatsApp,Kolkata
CL00111,+917294678352,+918632978535,2022-04-18 09:26:58,180,Voice,Indore
CL00112,+918830831254,+918507634128,2022-11-16 10:29:50,428,Telegram,Kolkata
CL00113,+917033199694,+917488120041,2023-03-25 23:44:28,658,Voice,Chennai
CL00114,+919559721644,+919163970710,2022-01-24 10:41:06,1391,WhatsApp,Surat
CL00115,+917414741061,+918843761970,2022-06-28 17:10:21,1151,Telegram,Jaipur
CL00116,+919036965074,+917225953184,2023-10-07 05:11:40,1351,Telegram,Pune
CL00117,+919380304322,+919367966782,2023-04-06 18:27:24,14,WhatsApp,Hyderabad
CL00118,+917220959215,+917749459431,2023-08-15 03:51:55,1104,WhatsApp,Kolkata
CL00119,+919391179068,+919367966782,2023-04-14 03:16:42,1771,Telegram,Lucknow
CL00120,+918843023757,+918464137110,2023-09-18 12:37:07,717,Signal,Indore
CL00121,+917877990647,+918635971911,2024-04-13 21:45:51,614,Voice,Bhopal
CL00122,+917261243105,+918843023757,2022-05-01 07:19:07,379,Signal,Surat
CL00123,+918830831254,+917334417350,2023-02-02 13:38:08,1182,Telegram,Pune
CL00124,+918847692041,+917988317990,2023-10-13 17:44:58,1326,WhatsApp,Lucknow
CL00125,+919514122177,+919869245055,2022-10-23 04:11:20,1729,Telegram,Ahmedabad
CL00126,+917621430136,+917779130936,2022-01-10 15:08:12,1674,Telegram,Lucknow
CL00127,+918873548915,+917309561891,2023-02-23 21:31:26,1459,Telegram,Jaipur
CL00128,+919514122177,+917748381742,2023-08-02 00:50:48,456,Signal,Delhi
CL00129,+918816499958,+918607610633,2023-07-05 09:10:49,941,Telegram,Lucknow
CL00130,+917334417350,+919549776132,2023-08-10 03:17:49,1117,Signal,Lucknow
CL00131,+917633740357,+919090071756,2023-07-14 06:27:06,1512,WhatsApp,Chennai
CL00132,+917889734128,+917947119487,2022-09-27 11:55:52,183,Telegram,Indore
CL00133,+919641863774,+917288335378,2022-08-03 23:37:44,723,Telegram,Bangalore
CL00134,+918724932977,+918847136322,2024-04-13 06:51:03,1172,Signal,Lucknow
CL00135,+917220959215,+919961852565,2022-06-22 10:45:18,597,Signal,Indore
CL00136,+919472866768,+917488120041,2022-05-19 13:58:03,572,WhatsApp,Surat
CL00137,+917133790981,+918600506062,2022-05-30 22:20:53,511,Telegram,Jaipur
CL00138,+918830831254,+919877685081,2023-10-05 13:24:28,159,Voice,Pune
CL00139,+919472866768,+917220959215,2023-12-13 11:29:31,675,Voice,Indore
CL00140,+919259520140,+917877990647,2023-10-13 21:44:22,1746,Voice,Nagpur
CL00141,+919654827789,+919437795758,2022-08-12 13:52:13,1018,Signal,Kolkata
CL00142,+919578741716,+919978436070,2023-07-15 18:08:36,1750,Telegram,Nagpur
CL00143,+917774881143,+917012178595,2022-02-17 03:40:50,1718,Telegram,Delhi
CL00144,+919829967158,+917637088959,2023-03-28 14:00:27,419,WhatsApp,Bhopal
CL00145,+917464794418,+917637088959,2024-06-14 08:05:41,743,Signal,Mumbai
CL00146,+917131671246,+919514122177,2022-02-23 12:40:19,1491,WhatsApp,Pune
CL00147,+919259520140,+917488120041,2022-01-02 06:30:04,276,WhatsApp,Lucknow
CL00148,+919263164755,+917091729577,2022-01-09 22:21:52,251,Telegram,Surat
CL00149,+917133790981,+918849649210,2022-03-14 07:24:05,1501,Voice,Mumbai
CL00150,+918843023757,+917609346980,2024-06-21 09:08:24,1589,WhatsApp,Bhopal
CL00151,+918830831254,+917110724913,2023-06-28 18:00:39,1336,WhatsApp,Jaipur
CL00152,+918507634128,+918947762953,2023-10-06 23:09:58,848,Telegram,Indore
CL00153,+917408390575,+917544423789,2022-04-13 04:48:07,1212,Telegram,Kolkata
CL00154,+919200510647,+918843023757,2024-03-21 04:15:17,1325,Voice,Hyderabad
CL00155,+919529182928,+919578741716,2024-03-08 22:01:54,1739,Signal,Hyderabad
CL00156,+918843761970,+917334417350,2022-07-13 23:25:18,1328,Voice,Nagpur
CL00157,+917366637148,+917309561891,2023-01-31 03:15:31,1311,Voice,Lucknow
CL00158,+918432410914,+919432330583,2022-11-21 04:24:55,1723,Telegram,Kolkata
CL00159,+918875662813,+918635971911,2024-02-21 15:49:04,39,Voice,Delhi
CL00160,+918415818695,+917408390575,2022-02-10 01:50:25,1042,Signal,Bhopal
CL00161,+917181686832,+919843005049,2023-03-10 22:25:05,1316,WhatsApp,Chennai
CL00162,+917748381742,+918196441373,2022-03-22 16:58:13,1659,WhatsApp,Lucknow
CL00163,+919391179068,+918338472296,2023-08-24 20:48:53,1335,Voice,Chennai
CL00164,+919912923661,+917366637148,2022-03-01 07:05:59,894,Voice,Jaipur
CL00165,+919320207740,+918196441373,2023-11-14 23:42:47,364,Voice,Delhi
CL00166,+918724932977,+917091729577,2022-06-17 15:22:33,1064,Signal,Bangalore
CL00167,+917131671246,+918967277638,2024-02-07 08:46:56,246,Voice,Kolkata
CL00168,+919200510647,+918518692176,2023-06-21 02:16:45,1185,Voice,Jaipur
CL00169,+919574081104,+917334417350,2023-01-04 01:31:54,1165,WhatsApp,Kolkata
CL00170,+917637088959,+919518848328,2024-03-02 03:57:36,1385,Voice,Hyderabad
CL00171,+917334417350,+919756099698,2022-02-15 00:15:02,971,Signal,Pune
CL00172,+918905085701,+919565778475,2024-05-28 01:35:51,1467,Telegram,Hyderabad
CL00173,+919635277155,+918600506062,2023-03-03 23:20:17,1696,Voice,Ahmedabad
CL00174,+917131671246,+919641863774,2023-05-30 21:57:03,372,WhatsApp,Nagpur
CL00175,+918843761970,+919559721644,2023-02-15 02:56:29,1778,Signal,Nagpur
CL00176,+918196441373,+919391179068,2022-03-30 17:29:00,760,WhatsApp,Chennai
CL00177,+917464794418,+917414741061,2023-04-21 11:37:31,1587,WhatsApp,Surat
CL00178,+918875662813,+917414741061,2022-06-04 00:59:26,53,WhatsApp,Lucknow
CL00179,+918327079104,+917091729577,2022-12-10 00:48:42,775,Signal,Mumbai
CL00180,+918847136322,+918394868732,2022-09-01 13:31:03,296,Signal,Mumbai
CL00181,+919559721644,+919036965074,2024-05-15 16:26:44,767,Telegram,Surat
CL00182,+917748381742,+917488120041,2023-06-02 04:40:52,812,Voice,Ahmedabad
CL00183,+918076551580,+919912923661,2023-11-10 04:15:18,539,Signal,Nagpur
CL00184,+918338472296,+919391179068,2022-11-22 14:17:14,157,WhatsApp,Bangalore
CL00185,+919204340231,+917346992476,2022-04-19 05:28:29,648,Telegram,Mumbai
CL00186,+919961852565,+917779130936,2024-02-28 06:28:19,953,Signal,Indore
CL00187,+919641863774,+919259520140,2022-06-11 21:19:52,1448,Voice,Hyderabad
CL00188,+919391179068,+919946766309,2022-04-04 22:15:22,816,Voice,Bhopal
CL00189,+919820660931,+919412411754,2024-04-19 05:01:25,1755,Telegram,Lucknow
CL00190,+917454678712,+918600506062,2022-04-07 14:06:51,1630,WhatsApp,Mumbai
CL00191,+918432410914,+918076551580,2024-04-30 07:08:12,1691,Telegram,Kolkata
CL00192,+917748381742,+919412411754,2024-04-12 02:01:04,409,Telegram,Nagpur
CL00193,+918967277638,+919259520140,2024-05-17 10:07:02,949,Voice,Bangalore
CL00194,+918846465000,+919437795758,2023-05-24 00:24:43,878,WhatsApp,Kolkata
CL00195,+918947762953,+918847692041,2022-10-09 08:28:56,309,Voice,Ahmedabad
CL00196,+917414741061,+919179320310,2023-05-26 13:56:35,986,Voice,Mumbai
CL00197,+917220959215,+918615742667,2022-05-21 13:12:41,1637,WhatsApp,Bhopal
CL00198,+918875662813,+917540838949,2023-01-27 22:22:30,1120,Telegram,Kolkata
CL00199,+917181686832,+919635277155,2023-02-02 08:11:01,658,WhatsApp,Delhi
CL00200,+917220959215,+919320207740,2024-04-08 15:33:22,1575,WhatsApp,Bangalore
CL00201,+919045460840,+918600506062,2023-11-04 07:17:34,1676,Voice,Nagpur
CL00202,+918342278523,+918464137110,2022-12-30 05:11:15,1218,Signal,Nagpur
CL00203,+917779130936,+919380304322,2023-12-22 22:22:36,1159,WhatsApp,Ahmedabad
CL00204,+917491404673,+917309561891,2023-07-10 09:11:31,82,Voice,Delhi
CL00205,+919036965074,+918342278523,2022-01-21 16:30:00,684,WhatsApp,Nagpur
CL00206,+917133790981,+917774881143,2024-01-05 05:58:51,1734,Signal,Delhi
CL00207,+917881351238,+919946766309,2023-08-24 22:58:09,1590,Voice,Indore
CL00208,+917494665880,+919823273703,2022-03-16 11:45:42,815,Voice,Kolkata
CL00209,+917464794418,+919635277155,2022-05-20 05:46:27,1626,Telegram,Bhopal
CL00210,+919670283403,+918635971911,2023-12-26 17:44:56,1261,Signal,Hyderabad
CL00211,+918635971911,+917394096254,2022-11-11 23:44:18,265,WhatsApp,Surat
CL00212,+919756099698,+918338472296,2024-05-21 18:02:11,1238,Signal,Nagpur
CL00213,+918342278523,+918925327382,2023-05-24 04:21:47,164,WhatsApp,Kolkata
CL00214,+919670283403,+919514122177,2023-10-14 02:52:45,1377,Signal,Jaipur
CL00215,+917091729577,+918415818695,2022-08-03 07:44:04,722,Signal,Nagpur
CL00216,+919204340231,+919756099698,2022-02-19 12:28:46,864,WhatsApp,Pune
CL00217,+917309561891,+917394096254,2022-12-26 17:24:06,1702,Telegram,Nagpur
CL00218,+918607610633,+918181184718,2023-04-08 02:51:54,73,Signal,Delhi
CL00219,+919670283403,+919412411754,2022-04-18 02:21:10,773,WhatsApp,Surat
CL00220,+918021908455,+917454678712,2022-04-06 10:38:39,993,Voice,Pune
CL00221,+919514122177,+919912923661,2022-06-10 01:06:21,425,WhatsApp,Pune
CL00222,+919529182928,+917378514962,2022-09-29 21:18:19,491,Voice,Delhi
CL00223,+918338472296,+917454678712,2024-05-10 15:09:03,743,Voice,Pune
CL00224,+917544423789,+919179320310,2024-04-23 21:40:38,988,WhatsApp,Mumbai
CL00225,+917294678352,+918847136322,2022-06-24 20:18:05,974,Voice,Chennai
CL00226,+919437795758,+918243165953,2023-05-16 21:16:05,1319,Telegram,Bangalore
CL00227,+917609346980,+917923988689,2023-01-14 05:28:02,544,Telegram,Jaipur
CL00228,+918415818695,+918607610633,2024-05-07 08:36:03,314,Voice,Mumbai
CL00229,+918327079104,+917378514962,2023-02-28 18:14:35,129,Telegram,Indore
CL00230,+919749387529,+919607371597,2023-07-03 21:55:59,977,WhatsApp,Jaipur
CL00231,+919820660931,+919529104043,2023-02-09 22:02:32,1174,WhatsApp,Mumbai
CL00232,+917195066088,+918635971911,2022-06-21 06:51:12,263,Voice,Pune
CL00233,+919529104043,+919912923661,2022-07-26 20:09:53,1223,Signal,Kolkata
CL00234,+917110724913,+917544423789,2023-02-02 17:25:35,672,Signal,Lucknow
CL00235,+917877990647,+918432410914,2024-03-16 22:39:37,1075,Telegram,Mumbai
CL00236,+919843005049,+918905085701,2022-06-01 18:37:37,1558,Voice,Mumbai
CL00237,+919045460840,+918341957809,2024-06-07 17:56:22,846,Signal,Pune
CL00238,+917988317990,+917033199694,2022-02-08 05:17:25,299,Telegram,Delhi
CL00239,+919437795758,+917112759345,2023-12-09 07:03:47,978,Signal,Kolkata
CL00240,+917881351238,+919978436070,2024-04-17 09:19:17,1731,Telegram,Indore
CL00241,+919045460840,+917655579180,2022-05-18 09:47:28,1590,Signal,Chennai
CL00242,+919843005049,+917544423789,2022-07-12 14:13:58,1692,Telegram,Surat
CL00243,+917988317990,+918843761970,2024-06-07 11:52:03,1060,WhatsApp,Mumbai
CL00244,+918196441373,+918873548915,2023-02-18 04:49:54,1078,Voice,Bangalore
CL00245,+919795665767,+917923517027,2024-05-07 01:15:02,939,Voice,Kolkata
CL00246,+919367966782,+918816499958,2023-01-13 14:32:25,1306,Voice,Bhopal
CL00247,+919380304322,+917366637148,2023-01-17 15:38:28,368,Telegram,Ahmedabad
CL00248,+919529182928,+918507634128,2022-12-19 05:53:57,534,Voice,Chennai
CL00249,+919380304322,+918615742667,2022-02-20 05:54:36,1602,WhatsApp,Indore
CL00250,+918342278523,+918607610633,2023-11-25 06:17:41,843,Voice,Indore
CL00251,+917091729577,+917033199694,2022-05-16 20:11:38,1645,Voice,Hyderabad
CL00252,+917558841618,+919389142017,2023-12-31 22:41:17,872,Telegram,Indore
CL00253,+918507634128,+917877990647,2022-09-16 06:29:19,1391,Telegram,Ahmedabad
CL00254,+918925327382,+919746601166,2023-06-08 21:53:53,771,Signal,Chennai
CL00255,+919204340231,+918632978535,2022-03-07 10:17:40,670,Signal,Chennai
CL00256,+919820660931,+917491404673,2022-06-03 16:48:15,121,Telegram,Bhopal
CL00257,+919670283403,+918724932977,2024-01-09 00:41:31,610,Signal,Pune
CL00258,+917225953184,+918464137110,2024-01-25 01:37:45,1176,WhatsApp,Kolkata
CL00259,+918342278523,+919654827789,2023-10-16 15:58:42,739,Signal,Indore
CL00260,+919355172948,+918948692883,2022-10-28 03:30:08,1522,Signal,Surat
CL00261,+918948692883,+919825363606,2023-11-02 02:14:22,462,Signal,Pune
CL00262,+917112759345,+917131671246,2022-09-24 18:18:29,1748,Voice,Jaipur
CL00263,+917621430136,+918538638860,2023-04-29 06:32:07,1781,Telegram,Lucknow
CL00264,+919820660931,+917350389989,2022-02-25 04:08:12,706,Telegram,Ahmedabad
CL00265,+917877990647,+918830831254,2022-11-20 22:11:49,170,Telegram,Kolkata
CL00266,+919565778475,+918843023757,2023-10-12 01:00:28,565,WhatsApp,Nagpur
CL00267,+919355172948,+917637088959,2023-05-17 02:08:39,893,Telegram,Pune
CL00268,+919200510647,+918849649210,2023-01-28 00:02:34,413,Signal,Delhi
CL00269,+919635277155,+918394868732,2022-07-15 00:43:00,1288,WhatsApp,Hyderabad
CL00270,+918327079104,+918196441373,2022-05-13 03:24:32,1210,Signal,Bangalore
CL00271,+917749459431,+919559721644,2022-11-02 09:29:46,1070,Signal,Pune
CL00272,+917261243105,+917774881143,2023-05-17 11:48:12,342,Telegram,Delhi
CL00273,+917655579180,+918607610633,2024-01-15 04:13:46,49,WhatsApp,Mumbai
CL00274,+919823273703,+918000721711,2023-01-20 20:16:49,1100,Voice,Ahmedabad
CL00275,+917012178595,+919204340231,2023-11-01 00:03:44,242,Telegram,Jaipur
CL00276,+917923988689,+919829967158,2023-07-15 08:30:44,318,WhatsApp,Surat
CL00277,+917091729577,+917464794418,2023-03-07 21:06:42,1070,Signal,Ahmedabad
CL00278,+918724932977,+919607371597,2024-04-30 03:32:46,1270,Voice,Chennai
CL00279,+919163970710,+919204340231,2023-05-25 06:38:12,1598,Signal,Indore
CL00280,+919749387529,+917923517027,2023-01-02 22:26:18,333,Voice,Lucknow
CL00281,+918705407682,+917981372436,2023-12-06 15:21:15,10,Voice,Bhopal
CL00282,+917544423789,+919549776132,2024-05-05 18:42:31,310,Voice,Nagpur
CL00283,+917334417350,+918021908455,2024-01-11 23:06:57,529,WhatsApp,Jaipur
CL00284,+919179320310,+918415818695,2023-04-21 01:06:52,362,Voice,Indore
CL00285,+918510308881,+919432330583,2024-03-31 21:20:27,1517,Voice,Mumbai
CL00286,+919559721644,+917091729577,2024-05-22 04:42:41,354,Signal,Kolkata
CL00287,+919090071756,+919877685081,2024-06-18 23:05:23,1674,Signal,Bangalore
CL00288,+919163970710,+919560761628,2023-02-14 14:17:53,794,Telegram,Nagpur
CL00289,+919607371597,+919514122177,2022-04-26 04:44:46,125,WhatsApp,Mumbai
CL00290,+919843005049,+918632978535,2024-04-01 18:43:28,376,Telegram,Nagpur
CL00291,+917779130936,+919380304322,2024-06-02 21:56:53,1494,WhatsApp,Jaipur
CL00292,+917988317990,+919549776132,2024-06-27 13:28:02,134,Signal,Bhopal
CL00293,+918843023757,+918432410914,2023-12-23 21:33:49,1527,WhatsApp,Bhopal
CL00294,+919978436070,+918843761970,2023-06-20 22:44:39,200,Telegram,Bhopal
CL00295,+918600506062,+918632978535,2022-12-21 21:43:41,793,WhatsApp,Indore
CL00296,+917621430136,+917091729577,2023-10-21 05:32:54,966,Telegram,Indore
CL00297,+919514122177,+918021908455,2024-02-09 15:20:15,682,Signal,Delhi
CL00298,+918873548915,+918607610633,2023-07-18 20:24:25,1678,WhatsApp,Mumbai
CL00299,+917877990647,+919263164755,2024-03-31 18:28:05,1759,Telegram,Jaipur
CL00300,+918843023757,+919641863774,2023-05-25 23:41:01,215,Telegram,Pune
CL00301,+918000721711,+917454678712,2022-01-01 02:50:38,1272,Signal,Lucknow
CL00302,+918847136322,+919574081104,2022-12-16 11:52:03,1677,WhatsApp,Indore
CL00303,+919574081104,+917112759345,2023-07-28 19:38:30,1472,Signal,Surat
CL00304,+917947119487,+919163970710,2022-04-10 21:14:00,704,Signal,Indore
CL00305,+918510308881,+917454678712,2023-06-19 11:44:06,98,WhatsApp,Jaipur
CL00306,+918724932977,+919653594796,2022-04-20 08:39:12,389,Voice,Indore
CL00307,+918338472296,+917408390575,2023-04-14 06:45:21,225,Telegram,Delhi
CL00308,+919829967158,+917947119487,2023-04-14 21:37:32,280,Telegram,Delhi
CL00309,+918394868732,+917012178595,2023-07-21 13:53:37,994,WhatsApp,Surat
CL00310,+918635971911,+918967277638,2022-04-17 12:42:38,1246,Signal,Lucknow
CL00311,+918615742667,+919607371597,2023-09-16 22:48:15,565,Telegram,Kolkata
CL00312,+919179320310,+917947119487,2024-04-04 04:08:26,1238,Signal,Indore
CL00313,+917454678712,+918843023757,2023-12-30 23:59:35,1300,WhatsApp,Hyderabad
CL00314,+917981372436,+918510308881,2023-12-05 11:58:43,276,WhatsApp,Lucknow
CL00315,+917378514962,+919635277155,2023-12-29 03:48:22,1156,Telegram,Ahmedabad
CL00316,+919843005049,+919654827789,2022-10-20 13:51:00,1075,Voice,Delhi
CL00317,+917923988689,+919946766309,2022-02-24 21:03:12,551,WhatsApp,Chennai
CL00318,+917558841618,+919946766309,2024-05-09 01:44:50,609,WhatsApp,Nagpur
CL00319,+917378514962,+917889734128,2023-01-03 14:06:39,1782,WhatsApp,Surat
CL00320,+918464137110,+917288335378,2023-06-08 22:18:44,1365,Voice,Pune
CL00321,+918464137110,+919843005049,2024-03-18 21:20:35,115,Voice,Surat
CL00322,+917558841618,+917923517027,2023-09-28 14:53:14,1302,Signal,Nagpur
CL00323,+918875662813,+919367966782,2024-03-05 23:12:18,924,WhatsApp,Bhopal
